Card Type Full Name,Issuing Bank,Card Number,Card Holder's Name,CVV/CVV2,Issue Date,Expiry Date,Billing Date,Card PIN,Credit Limit
Master Card,Wells Fargo,5336066487174265,Alexandra O Sprague,788,11/2013,11/2014,28,3765,107900
Master Card,Wells Fargo,5152085894236419,Paul Alexander,427,12/2015,12/2021,7,6092,107300
Discover,Discover,6011352181320804,Mechelle Gillispie,763,06/2010,06/2014,2,1476,137000
Visa,Capital One,4040861696988699,Thelma M Henderson,687,09/2014,09/2021,22,0104,47900
American Express,U.S. Bancorp,379263518411175,Von Brownfield,4833,01/2008,01/2010,5,4258,65700
American Express,American Express,349635067146996,Patrick V Pierce,2054,12/2011,12/2018,21,8562,178300
Visa,Barclays,4094833846177296,Jeromy S Badger,409,10/2007,10/2019,14,4723,139100
American Express,American Express,379798201251917,Randy N Morrison,8226,12/2009,12/2018,28,0894,14300
Discover,Discover,6011097612307009,Zula Durante,693,12/2008,12/2010,16,2797,105700
Discover,Discover,6011430779457350,Bradley N Wilcox,251,01/2008,01/2022,27,2712,98200
Discover,Discover,6011790026589879,Nina Pinson,565,04/2016,04/2020,5,5471,116800
American Express,American Express,375959643587672,Louise B Stephens,1210,02/2015,02/2027,9,1562,155500
American Express,American Express,342101796845421,Raymundo O Vue,1795,01/2007,01/2022,16,4556,76400
Discover,Discover,6458334201598593,Steve Burgess,894,07/2010,07/2014,9,8650,191200
Diners Club International,Diners Club,30418984504967,Tracey I Gustin,316,08/2008,08/2017,7,6515,60200
Diners Club International,Diners Club,30101909852741,Victor R Dawson,997,11/2012,11/2026,24,4352,86000
Japan Credit Bureau,JCB,3530762763703806,Angelique P Bunce,741,09/2015,09/2018,26,0925,101000
Master Card,Bank of America,5243566131471456,Manuel Navarro,860,09/2007,09/2021,12,7827,146800
Master Card,U.S. Bancorp,5404353653950224,Lizeth U Kapp,640,10/2012,10/2023,16,6633,152200
American Express,U.S. Bancorp,340003117928906,Alma H Gibbs,5627,12/2008,12/2012,8,3549,170800
American Express,USAA,346198540435315,Jerrica D Threatt,3669,07/2017,07/2024,23,7174,141300
American Express,American Express,375001413995411,Frances B Ewing,0244,05/2017,05/2026,18,0059,139500
Japan Credit Bureau,JCB,3570326761758591,Dionna H Bonney,729,05/2007,05/2026,16,9500,71500
Japan Credit Bureau,JCB,3578409602184995,Roy J Fuller,811,12/2016,12/2027,18,8761,198600
Japan Credit Bureau,JCB,3540785467082852,Thao M Bessette,066,02/2014,02/2029,2,2605,178300
Japan Credit Bureau,JCB,3531088265159894,Samuel O Fry,081,11/2010,11/2014,5,3065,95100
Visa,Wells Fargo,4353659343287239,Theodora Mcabee,954,09/2010,09/2015,3,5085,52100
American Express,American Express,375819865868442,Holly S Britt,7365,08/2008,08/2019,15,0699,191800
Discover,Discover,6011970224663557,Alissa V Desantis,902,03/2012,03/2018,25,3210,61200
Japan Credit Bureau,JCB,3585933447413831,Susan P Wood,496,01/2007,01/2008,12,4493,145500
Diners Club International,Diners Club,30378911900573,Elanor O Byer,222,09/2007,09/2027,22,3566,90500
Japan Credit Bureau,JCB,3549227000323783,Jonathan M Oneil,326,03/2014,03/2015,17,9458,125100
Master Card,Capital One,5350441504117848,Vern E Lapointe,866,10/2007,10/2017,14,6827,163500
Visa,Citibank,4183247424721064,Dustin C Hess,638,01/2013,01/2033,8,6457,180000
Japan Credit Bureau,JCB,3547000483688549,Raleigh Vincent,658,01/2013,01/2019,9,1730,150900
Discover,Discover,6011056751216082,Micheal N Daugherty,117,09/2015,09/2017,1,5301,70200
Japan Credit Bureau,JCB,3582562173472878,Gerald D Tsai,356,11/2016,11/2034,13,0795,186300
American Express,American Express,370489247813535,Marjorie English,9525,03/2012,03/2022,2,2563,14300
Visa,Chase,4058930351915799,Anamaria Balderas,605,08/2008,08/2011,7,1882,37300
Visa,Chase,4537524395796637,Bill U Snyder,966,05/2007,05/2009,14,1936,199700
Discover,Discover,6011154019528859,Janise Sanders,561,02/2015,02/2028,20,2112,99500
Master Card,Bank of America,5185744993157105,Pamela A Jenkins,294,04/2013,04/2019,17,7442,178100
Visa,Chase,4863977274915278,Osvaldo Y Ewing,600,10/2016,10/2020,25,3252,73600
American Express,American Express,340361918241808,Tiffany F Frazier,7846,03/2007,03/2012,8,2302,76300
American Express,U.S. Bancorp,373997869491312,Teresia F Kunkel,0747,01/2017,01/2029,14,0090,180700
American Express,USAA,376247433687830,Teresa X Mcbride,6722,09/2009,09/2020,6,8784,88100
Discover,Discover,6011074460280935,Mechelle M Batty,832,06/2012,06/2013,16,5898,120400
Master Card,Barclays,5109557920544382,Vanessa Huffman,398,10/2011,10/2018,20,6845,82400
Visa,Citibank,4840144213641386,Corinna R Kopp,135,02/2013,02/2021,22,1512,150700
Diners Club International,Diners Club,30944773721611,Peggy L Maddox,422,04/2015,04/2018,16,1865,70900
Diners Club International,Diners Club,36891812075117,Natalia Catalan,040,03/2016,03/2023,3,7117,160500
Japan Credit Bureau,JCB,3541302833590136,Willie D Hayes,585,07/2013,07/2026,24,4304,44000
Diners Club International,Diners Club,30100970459766,Nicholas L Hwang,314,05/2008,05/2024,20,8288,67800
Visa,U.S. Bancorp,4432672470607793,Frances M Fitzpatrick,722,02/2013,02/2022,4,6580,11400
Discover,Discover,6471176324140693,Shawn A Rudnick,975,08/2009,08/2014,10,0346,170800
Master Card,U.S. Bancorp,5400291701537243,Tyler I Brady,143,09/2015,09/2020,5,4990,184700
Master Card,Bank of America,5237506120562152,Aleen F Gower,798,06/2013,06/2025,20,7610,128300
Discover,Discover,6011797378029594,Darlene R Abbott,722,10/2016,10/2017,15,6976,140000
Discover,Discover,6011316750430039,Jackelyn M Cookson,758,06/2017,06/2028,11,6573,42400
Discover,Discover,6011986506948961,Vernon V Ferguson,372,07/2008,07/2019,26,6566,35500
Japan Credit Bureau,JCB,3543202162621783,Bambi Z Hartmann,987,04/2014,04/2019,4,4610,135500
Discover,Discover,6011508670837380,Charles Z Bryant,446,08/2007,08/2023,11,3281,156300
Visa,Chase,4000962466359869,Reynaldo M Fricke,176,05/2013,05/2020,15,8239,117900
Master Card,Bank of America,5229573565398575,Gregory Benson,101,08/2007,08/2025,12,2333,53700
Diners Club International,Diners Club,30907555346659,Lou Farnham,133,09/2008,09/2013,3,7519,155300
Diners Club International,Diners Club,30994688773504,Gail A Hughes,679,09/2009,09/2016,8,6434,111500
Master Card,Citibank,5420212533905586,Connie Bevan,042,11/2008,11/2020,24,5648,65800
Discover,Discover,6226926045801942,Manuel Lindsay,714,05/2017,05/2030,21,2004,57100
Visa,Chase,4781096058689949,Brian Kinsey,567,06/2010,06/2019,15,5314,80500
American Express,American Express,374378100732419,Eric D Powell,1921,03/2010,03/2022,5,5120,197000
American Express,American Express,370611358828065,Leslie A Wesley,5069,09/2013,09/2026,26,5870,83700
Visa,Chase,4072156516243099,Valerie T Vazquez,563,01/2010,01/2017,14,4992,178100
American Express,American Express,340962746370725,Dorsey Falk,3051,12/2016,12/2033,14,7885,191300
Discover,Discover,6011241436563872,Andrew Q Ochoa,076,11/2012,11/2027,17,5300,11300
Visa,Chase,4473939723377072,Jestine Segura,904,10/2011,10/2028,20,4150,57400
Discover,Discover,6011441347488082,Mike C Curry,943,08/2012,08/2018,4,6188,153300
Master Card,Bank of America,5419979595723825,Dominga L Bramblett,217,03/2013,03/2019,25,8684,54100
Master Card,Citibank,5272156700720501,Floyd Black,074,09/2008,09/2012,26,2241,154900
Master Card,Chase,5129093766594782,Bella G Kingston,141,05/2013,05/2029,22,7814,98600
Master Card,Chase,5381875761588030,Ellen X Cameron,455,09/2013,09/2018,6,4243,182300
Japan Credit Bureau,JCB,3541969500869140,Hank Hamilton,313,12/2009,12/2027,1,9886,127600
Diners Club International,Diners Club,30183745305696,Phyllis L Silva,705,02/2016,02/2036,20,5046,70600
Master Card,GE Capital,5248717442597415,Ingrid D Grenier,407,09/2010,09/2020,23,2672,179600
Master Card,Chase,5326623131230851,Micheal W Sharpe,932,04/2014,04/2019,1,2347,122300
Master Card,Chase,5220622501339463,Deidre Y Holmberg,266,12/2010,12/2018,28,0039,186600
Japan Credit Bureau,JCB,3544363140412494,Maurice S Aguirre,997,09/2014,09/2023,20,3690,114200
Discover,Discover,6011108707690637,Deetta N Zink,365,04/2014,04/2034,7,1928,195600
Visa,Capital One,4302298836704251,Leroy N Bates,147,06/2007,06/2009,18,1514,61900
Diners Club International,Diners Club,39316479097102,Lenard J Whittier,025,07/2012,07/2025,23,4228,72400
Japan Credit Bureau,JCB,3565267582109829,Clara N Summers,719,05/2016,05/2036,21,8547,60100
Master Card,GE Capital,5395131577905214,Demetrius R Mathews,676,02/2008,02/2011,6,7585,74800
Master Card,Wells Fargo,5425631765960487,Zachary I Wiggins,650,09/2011,09/2027,24,6363,180900
Visa,Chase,4381165413919301,Latrice Z Sternberg,354,12/2011,12/2028,27,6726,112500
Visa,Chase,4351908301577970,Kathy D Melendez,826,07/2008,07/2016,27,2422,126200
Japan Credit Bureau,JCB,3564305175308647,Arturo H Macomber,600,09/2008,09/2021,23,4350,125600
Visa,Citibank,4100026543775767,Dean Dyer,231,04/2007,04/2009,21,3394,88700
Discover,Discover,6011764528404192,Alan V Storey,867,09/2016,09/2023,12,6152,65500
American Express,U.S. Bancorp,372284536807811,Sheila I Schwartz,4426,07/2014,07/2030,10,5085,145300
Japan Credit Bureau,JCB,3540617433797323,Louie I Alfonso,566,09/2010,09/2019,15,6042,101400
Visa,Chase,4961364634920028,Jerry R Atkinson,659,09/2012,09/2026,6,1776,109600
Japan Credit Bureau,JCB,3575233039092495,Vikki S Reilly,864,09/2008,09/2017,16,3126,15600
Visa,PNC,4465042911991489,Derrick L Marsh,220,03/2009,03/2023,17,0297,114400
Master Card,Citibank,5452409726547867,Kennith Q Soliz,644,02/2009,02/2010,25,4499,22900
Master Card,Capital One,5471910314470682,Yvonne Z Fisher,851,05/2015,05/2023,24,6625,145600
Japan Credit Bureau,JCB,3551106042199564,Dorcas Fairchild,096,08/2012,08/2027,16,0428,173300
Visa,Citibank,4262108230362085,Terry Albert,957,06/2014,06/2026,2,5348,31500
Japan Credit Bureau,JCB,3542609864524563,Regena P Roche,956,01/2014,01/2024,15,0979,98200
Japan Credit Bureau,JCB,3584053321431139,Douglas Dillon,706,05/2011,05/2020,6,4784,107300
Master Card,Chase,5375301625509474,Jaye S Massengale,398,04/2012,04/2020,26,5650,154000
Visa,Citibank,4162854447981859,Derek F Grimes,259,09/2010,09/2014,26,3082,159900
Japan Credit Bureau,JCB,3570124519482774,Myron G Seaton,836,08/2008,08/2017,8,0074,119600
Master Card,U.S. Bancorp,5499453176769451,Ruth W Russo,484,01/2014,01/2026,2,3108,11300
Discover,Discover,6011605646956748,Harry W Bonnell,859,10/2010,10/2027,10,6357,14100
Discover,Discover,6520507556542662,Norma O Whitaker,754,01/2007,01/2021,26,6432,199400
Master Card,Chase,5149521464837349,Michelle Serra,764,12/2016,12/2023,19,6110,49000
Master Card,U.S. Bancorp,5200871670622977,Doris Malone,675,03/2012,03/2026,3,9239,126600
Master Card,Capital One,5235551440353082,Bernice Blackstone,397,01/2007,01/2020,24,7740,194800
American Express,American Express,372400580525824,Shane C Douglas,9592,07/2012,07/2019,25,5450,26000
Japan Credit Bureau,JCB,3559303162212937,Rosario S Merida,329,04/2008,04/2027,19,2057,80400
Diners Club International,Diners Club,38878618243393,Derek U Harrison,334,07/2010,07/2017,23,4896,26100
American Express,American Express,343013941571498,Reagan D Smithers,4965,09/2011,09/2031,28,2773,182900
Visa,Chase,4591487432269328,Jane K Owens,695,05/2007,05/2019,25,6838,98800
Master Card,Capital One,5188222030612322,Celeste B Rhoads,606,04/2010,04/2018,15,0933,178800
Visa,Capital One,4826336448831711,Patrick Silva,142,03/2009,03/2029,18,1649,158800
Visa,USAA,4052586051430822,Jacki O Bard,508,01/2009,01/2021,15,4870,69500
Diners Club International,Diners Club,30263254081654,Edith F Hubbard,255,02/2015,02/2031,16,5980,13400
Diners Club International,Diners Club,30561387255768,Valeri Nation,369,11/2013,11/2030,3,9712,48400
Visa,Cabela’s WFB,4708935732316447,Todd M Reynolds,168,08/2009,08/2027,10,9204,46000
Diners Club International,Diners Club,30216092879176,Aisha Calzada,052,04/2009,04/2027,5,3040,66200
Japan Credit Bureau,JCB,3549553238790109,Manuel W Wilkins,450,03/2013,03/2030,13,1472,144800
American Express,American Express,341870854694621,Lincoln T Auld,5364,12/2010,12/2013,8,5727,97400
Japan Credit Bureau,JCB,3570278484273178,Teresa Meyers,829,08/2009,08/2010,20,6180,138500
Diners Club International,Diners Club,39430463160246,Jospeh Boyett,427,06/2014,06/2022,22,9544,68700
Visa,Chase,4340606898754937,Leo B Erickson,470,07/2012,07/2026,24,2156,105200
Master Card,Bank of America,5494506936944139,Hayden O Roundtree,576,01/2014,01/2016,17,5581,169700
Japan Credit Bureau,JCB,3580304959324508,Gary Suarez,647,11/2017,11/2025,9,3397,108100
Visa,GE Capital,4335052779703106,Clark Clack,216,07/2013,07/2024,16,0053,27700
American Express,U.S. Bancorp,379647980708326,Carrie V Lindsey,1738,09/2007,09/2013,26,6649,102100
Master Card,Barclays,5194371858832538,Anette X Sells,750,12/2016,12/2026,8,6550,35300
Discover,Discover,6011722946201632,Justin Griffin,488,05/2015,05/2023,22,9653,39200
Japan Credit Bureau,JCB,3553946199325308,Ann Wadley,820,04/2009,04/2019,22,6299,177500
Discover,Discover,6011790087034849,Vanessa N Rutledge,763,11/2008,11/2018,23,5372,61600
Discover,Discover,6011959907278031,Johanne P Burse,838,04/2015,04/2033,13,0490,117900
Master Card,GE Capital,5369803938866242,Shirley B Barton,132,04/2010,04/2022,3,0002,145900
Discover,Discover,6535809092219992,Natalie U Aiken,396,10/2008,10/2013,12,1239,172300
Japan Credit Bureau,JCB,3538512454666750,Eva Turner,283,09/2009,09/2023,6,5087,130500
Discover,Discover,6011230576349739,Wanetta L Liston,353,06/2015,06/2019,16,0244,178800
Visa,Chase,4321809924741687,Charles F Valdez,892,03/2010,03/2026,10,6544,157900
Master Card,Chase,5378893920182475,Brant K Lafleur,138,08/2015,08/2019,12,6703,169700
Japan Credit Bureau,JCB,3539902377135687,Jane P Brewer,652,09/2011,09/2015,4,5924,85400
Visa,USAA,4627383224964325,Desmond Hunter,972,11/2009,11/2011,28,8546,140100
Master Card,Chase,5241461481406553,Lloyd X Ramsey,623,07/2008,07/2012,14,1699,83500
Master Card,Bank of America,5486572046513156,Jude L Buckingham,115,04/2009,04/2024,27,3556,61800
Visa,U.S. Bancorp,4854360577941468,Timothy R Kent,861,05/2009,05/2014,1,0913,119500
Diners Club International,Diners Club,30237974820641,Darrin Read,069,06/2012,06/2025,6,9431,194200
Japan Credit Bureau,JCB,3579794515355579,Tracy G Brooks,340,12/2012,12/2029,16,3989,70000
Master Card,Citibank,5446982532711363,Val L Curl,367,05/2011,05/2015,27,4353,83700
American Express,American Express,341631061442786,Marion V Charles,6437,06/2009,06/2028,23,8017,156700
Diners Club International,Diners Club,30028048791193,Criselda X Claar,294,12/2012,12/2027,22,2136,11000
Diners Club International,Diners Club,30901530703886,Janet I Cruz,245,02/2009,02/2018,1,6324,121600
American Express,American Express,372024657092466,Chantell N Diez,9346,10/2008,10/2027,27,8494,139900
Master Card,Bank of America,5153989367935242,Jeffrey R Ruiz,181,07/2017,07/2036,18,4659,163400
Master Card,Citibank,5215322136142492,Rolande A Ringer,257,04/2010,04/2011,28,7513,83300
American Express,U.S. Bancorp,378282819847458,Floyd D Franklin,9064,04/2012,04/2019,16,6778,54800
Visa,Chase,4535893850737911,Sydney X Raney,003,07/2011,07/2030,7,9881,127200
Visa,Wells Fargo,4929311801522948,Benjamin J Todd,478,05/2014,05/2026,14,4760,127800
Diners Club International,Diners Club,30572089852075,Drew Whitehouse,010,07/2014,07/2029,11,6930,78500
Visa,Chase,4194199262577073,Crystal P Duffy,316,01/2013,01/2026,19,1871,71700
American Express,American Express,371169369145028,Mariana G Carrier,3108,02/2009,02/2015,4,7073,116700
Master Card,U.S. Bancorp,5175736800918804,Valerie Mccoy,889,05/2010,05/2015,8,8264,86400
Visa,USAA,4701179804747265,Tandra Dantzler,281,04/2010,04/2013,24,3677,88800
Japan Credit Bureau,JCB,3537445801448435,Regina P Tanner,941,07/2015,07/2032,3,2355,50000
Diners Club International,Diners Club,30381436816027,Robbie Alexander,766,12/2007,12/2012,16,5946,11700
Diners Club International,Diners Club,30931237098926,Tracy E Mercer,829,07/2017,07/2018,2,3172,198500
Discover,Discover,6508109441782672,Sandy K Reynolds,074,04/2011,04/2030,21,6876,28300
Master Card,U.S. Bancorp,5186501092452608,Jim Gates,118,11/2008,11/2018,4,1489,21400
Visa,USAA,4077011542347353,Sol H Stcyr,590,05/2011,05/2016,24,4844,14200
Discover,Discover,6011390688218840,Vivian W Sosa,634,11/2008,11/2018,16,0072,107500
